fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Sandy León,0.5,-127,-104,506702.0,hitter,0.38,0.2824,0.5232,-0.2408,0.2408,-0.4952,0.4075,UNDER,0.4075,REVIEW,0.4483,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Colson Montgomery,0.5,-172,129,695657.0,hitter,0.56,0.3872,0.5915,-0.2043,0.2043,-0.3877,0.4033,UNDER,0.4033,REVIEW,0.4436,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Jazz Chisholm Jr.,0.5,-125,-106,665862.0,hitter,1.709,0.7757,0.5192,0.2565,-0.2565,0.3962,-0.564,OVER,0.3962,REVIEW,0.4358,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_total_bases,Pete Crow-Armstrong,1.5,135,-181,691718.0,hitter,0.498,0.1053,0.3978,-0.2925,0.2925,-0.7524,0.3889,UNDER,0.3889,REVIEW,0.4278,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Jhostynxon Garcia,0.5,246,-357,691373.0,hitter,0.51,0.3995,0.2701,0.1294,-0.1294,0.3823,-0.2313,OVER,0.3823,REVIEW,0.4205,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Andy Pages,1.5,122,-162,681624.0,hitter,0.65,0.1504,0.4215,-0.2711,0.2711,-0.6661,0.374,UNDER,0.374,REVIEW,0.4114,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Brayan Rocchio,0.5,-149,112,677587.0,hitter,0.5,0.3542,0.5592,-0.205,0.205,-0.4081,0.3691,UNDER,0.3691,REVIEW,0.406,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Maikel Garcia,1.5,136,-182,672580.0,hitter,0.555,0.1218,0.3963,-0.2745,0.2745,-0.7125,0.3607,UNDER,0.3607,REVIEW,0.3968,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_total_bases,Dillon Dingler,1.5,121,-160,693307.0,hitter,0.69,0.1628,0.4237,-0.2609,0.2609,-0.6403,0.3605,UNDER,0.3605,REVIEW,0.3965,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Ben Rice,1.5,138,-184,700250.0,hitter,0.566,0.1249,0.3934,-0.2685,0.2685,-0.7027,0.3507,UNDER,0.3507,REVIEW,0.3858,1.1,96
