feature,importance,target
ev_spread_last10,0.0069238995,BB
opp_sp_h_rate,0.0069225235,BB
xbh_proxy_rate_std,0.0069126305,BB
max_h_rate_last10,0.0068728714,BB
h_rate_last30,0.0068064956,BB
hard_hit_proxy_last10,0.00677526,BB
blast_proxy_last10,0.006774944,BB
avg_LA_std,0.006763418,BB
h_tt_h,0.0067609777,BB
k_rate_last21,0.006742645,BB
ev_spread_std,0.006736801,BB
hr_rate_last7,0.00672643,BB
k_rate_std,0.006723684,BB
hard_hit_proxy_std,0.0067224065,BB
xbh_proxy_rate_last10,0.006716304,BB
sweet_spot_proxy_std,0.0067117894,BB
max_EV_last10,0.0067038853,BB
hitter_h_rate_vs_hand_last10_R,0.006702223,BB
opp_sp_bb_rate_std,0.0066957837,BB
opp_sp_ip_last10,0.0066834325,BB
opp_sp_k_rate,0.0066761565,BB
sweet_spot_proxy_last10,0.0066744755,BB
bb_rate_last30,0.006652129,BB
blast_proxy_std,0.0066504506,BB
HR_last7,0.006648611,BB
k_rate_last10,0.0066400385,BB
h_rate_last10,0.0066398787,BB
opp_sp_k_rate_last10,0.006637173,BB
bb_rate_last10,0.0065936134,BB
team_allowed_bb_rate_vs_hand_last10,0.0065905005,BB
k_rate_last7,0.006568566,BB
hitter_k_rate_vs_hand_last10_R,0.0065597007,BB
avg_EV_last10,0.0065577202,BB
ev_la_interaction_last10,0.0065470813,BB
opp_sp_hr_rate_last10,0.0065440377,BB
h_rate_last21,0.00654229,BB
team_allowed_hr_rate_vs_hand_last10,0.0065336567,BB
hr_rate_last21,0.0065323887,BB
opp_sp_ip_std,0.0065288693,BB
H_last7,0.006510171,BB
HR_last14,0.0065095495,BB
hitter_k_rate_vs_hand_std_R,0.0065047448,BB
h_rate_last14,0.006504423,BB
K_last21,0.0064963186,BB
h_rate_std,0.0064947167,BB
ev_la_interaction_std,0.0064750346,BB
opp_sp_h_rate_std,0.006455243,BB
opp_sp_k_rate_std,0.0064354627,BB
K_last7,0.0064334315,BB
max_hr_rate_last10,0.0064197937,BB
k_rate_last30,0.006383835,BB
opp_sp_bb_rate_last10,0.006382726,BB
team_allowed_k_rate_vs_hand_last10,0.0063801,BB
team_allowed_h_rate_vs_hand_last10,0.0063048275,BB
K_last14,0.0062945755,BB
times_on_base_rate_last10,0.0062907897,BB
H_last10,0.006270001,BB
K_last10,0.006267348,BB
HR_last10,0.006213117,BB
hr_rate_last10,0.006198908,BB
h_tt_k,0.006195569,BB
opp_sp_hr_rate,0.0061899377,BB
avg_LA_last10,0.006157967,BB
H_last21,0.006145171,BB
h_rate_last7,0.006142035,BB
team_allowed_k_rate_vs_hand_std,0.0060780123,BB
team_allowed_h_rate_vs_hand_std,0.006034053,BB
team_allowed_hr_rate_vs_hand_std,0.0059945774,BB
opp_sp_hr_rate_std,0.0059774104,BB
park_factor,0.005970437,BB
opp_sp_h_rate_last10,0.0059700846,BB
barrel_proxy_last10,0.005934636,BB
days_since_game,0.0055109416,BB
K_std,0.06114875,K
opp_sp_k_rate,0.05508281,K
K_last30,0.053103495,K
K_last21,0.025702268,K
hitter_k_rate_vs_hand_std_R,0.023465045,K
h_tt_k,0.014911461,K
HR_std,0.013900582,K
xbh_proxy_rate_std,0.011350392,K
k_rate_std,0.011174912,K
opp_sp_ip,0.011064941,K
hitter_hr_rate_vs_hand_std_R,0.009210576,K
max_EV_std,0.009095683,K
max_EV_last10,0.008890103,K
hr_rate_std,0.008773033,K
K_last14,0.008621304,K
blast_proxy_std,0.008598993,K
hitter_bb_rate_vs_hand_std_L,0.008522484,K
hr_rate_last30,0.008323139,K
H_last30,0.008304525,K
PA_last10,0.008237721,K
hitter_k_rate_vs_hand_std_L,0.008009473,K
hitter_hr_rate_vs_hand_std_L,0.007984082,K
hitter_hr_rate_vs_hand_last10_L,0.007776788,K
h_tt_hr,0.007692012,K
K_last10,0.007675508,K
times_on_base_rate_std,0.007514685,K
HR_last30,0.0074203764,K
opp_sp_h_rate,0.0073607853,K
PA_last30,0.007344549,K
hitter_h_rate_vs_hand_std_L,0.0073134876,K
opp_sp_k_rate_last10,0.007272543,K
bb_rate_std,0.0071563744,K
opp_sp_k_rate_std,0.007113197,K
hard_hit_proxy_std,0.007073422,K
hitter_bb_rate_vs_hand_last10_L,0.0070390627,K
hitter_k_rate_vs_hand_last10_R,0.0070381523,K
HR_last21,0.007031137,K
BB_last30,0.0068349726,K
k_rate_last30,0.006787202,K
barrel_proxy_std,0.0067450632,K
HR_last10,0.0067005777,K
hitter_k_rate_vs_hand_last10_L,0.006659836,K
opp_sp_bb_rate,0.006655859,K
BB_std,0.0066017564,K
hitter_hr_rate_vs_hand_last10_R,0.0065852017,K
opp_sp_ip_last10,0.006521961,K
h_rate_std,0.006474062,K
ev_spread_std,0.006459051,K
h_tt_bb,0.0064422865,K
bb_rate_last10,0.006420002,K
hitter_h_rate_vs_hand_last10_L,0.0063960655,K
hitter_bb_rate_vs_hand_last10_R,0.0063445806,K
xbh_proxy_rate_last10,0.0063047945,K
ev_spread_last10,0.006287973,K
bb_rate_last30,0.006279085,K
H_std,0.0061942954,K
hitter_h_rate_vs_hand_std_R,0.0061927806,K
times_on_base_rate_last10,0.0061916243,K
H_last14,0.0061511006,K
BB_last10,0.0061346344,K
bb_rate_last21,0.0060936846,K
avg_EV_std,0.006080793,K
BB_last14,0.0060703713,K
opp_sp_bb_rate_std,0.0060678693,K
hitter_bb_rate_vs_hand_std_R,0.0060331235,K
k_rate_last10,0.0059899995,K
PA_last3,0.005932908,K
opp_sp_h_rate_last10,0.0059267376,K
h_rate_last10,0.0059118336,K
PA_last14,0.0058871144,K
bb_rate_last14,0.00586925,K
bb_rate_last7,0.00586381,K
opp_sp_hr_rate_std,0.005854949,K
opp_sp_ip_std,0.0058411616,K
h_rate_last30,0.005835296,K
h_rate_last21,0.0058065425,K
BB_last21,0.005792444,K
h_rate_last14,0.0057784338,K
opp_sp_hr_rate,0.0057681296,K
PA_last21,0.0057523428,K
team_allowed_h_rate_vs_hand_last10,0.005743282,K
hitter_h_rate_vs_hand_last10_R,0.005729131,K
opp_sp_hr_rate_last10,0.0057231425,K
PA_std,0.0057187183,K
avg_LA_std,0.005710282,K
ev_la_interaction_last10,0.005702819,K
h_tt_h,0.0056990613,K
h_rate_last7,0.0056886547,K
team_allowed_hr_rate_vs_hand_std,0.0056859856,K
max_h_rate_last10,0.005685078,K
k_rate_last21,0.005682964,K
BB_last7,0.0056749727,K
opp_sp_bb_rate_last10,0.0056704353,K
hr_rate_last10,0.0056624496,K
team_allowed_k_rate_vs_hand_last10,0.0056609125,K
avg_LA_last10,0.005656393,K
team_allowed_hr_rate_vs_hand_last10,0.0056521855,K
avg_EV_last10,0.0056128334,K
team_allowed_h_rate_vs_hand_std,0.0055717593,K
opp_sp_h_rate_std,0.0055619595,K
k_rate_last14,0.005529486,K
team_allowed_bb_rate_vs_hand_std,0.005524043,K
park_factor,0.005516976,K
ev_la_interaction_std,0.005507166,K
team_allowed_bb_rate_vs_hand_last10,0.0054729213,K
hr_rate_last7,0.0054505714,K
PA_last7,0.005446473,K
hard_hit_proxy_last10,0.0054427516,K
H_last21,0.0054112906,K
H_last7,0.0054051694,K
k_rate_last7,0.005369213,K
team_allowed_k_rate_vs_hand_std,0.005364166,K
sweet_spot_proxy_std,0.005354769,K
K_last7,0.005311525,K
blast_proxy_last10,0.0052032173,K
hr_rate_last21,0.005197653,K
sweet_spot_proxy_last10,0.0051346677,K
max_hr_rate_last10,0.0051190113,K
hr_rate_last14,0.0050964467,K
barrel_proxy_last10,0.005086844,K
H_last10,0.0050742943,K
days_since_game,0.0050421823,K
HR_last14,0.004828692,K
HR_last7,0.0047981096,K
PA_last30,0.10203508,PA
PA_last14,0.076136656,PA
PA_last10,0.075480595,PA
hitter_hr_rate_vs_hand_last10_R,0.06193732,PA
PA_last21,0.041118786,PA
hitter_hr_rate_vs_hand_std_R,0.03611918,PA
PA_std,0.03326153,PA
PA_last7,0.02668772,PA
HR_last7,0.025387539,PA
hitter_hr_rate_vs_hand_std_L,0.019690933,PA
hitter_h_rate_vs_hand_std_L,0.01806988,PA
H_std,0.016907109,PA
hitter_bb_rate_vs_hand_std_R,0.016521992,PA
hitter_k_rate_vs_hand_last10_L,0.014886502,PA
hitter_k_rate_vs_hand_std_R,0.012504207,PA
hitter_h_rate_vs_hand_last10_L,0.012191873,PA
H_last30,0.0120582655,PA
hitter_k_rate_vs_hand_std_L,0.010640503,PA
hitter_h_rate_vs_hand_std_R,0.010566091,PA
opp_sp_h_rate,0.010331445,PA
PA_last3,0.010279079,PA
hitter_bb_rate_vs_hand_last10_L,0.010179474,PA
hitter_k_rate_vs_hand_last10_R,0.009913122,PA
hitter_bb_rate_vs_hand_std_L,0.009636671,PA
HR_last14,0.0064710416,PA
opp_sp_ip,0.00601651,PA
max_EV_std,0.005943516,PA
HR_std,0.0058196285,PA
opp_sp_ip_last10,0.0055029057,PA
opp_sp_bb_rate,0.00539744,PA
xbh_proxy_rate_std,0.0053308676,PA
HR_last30,0.005219405,PA
HR_last21,0.005200488,PA
hr_rate_last30,0.004874059,PA
hitter_hr_rate_vs_hand_last10_L,0.004648501,PA
opp_sp_ip_std,0.0046418775,PA
hitter_h_rate_vs_hand_last10_R,0.004607024,PA
hr_rate_std,0.0044229114,PA
ev_spread_last10,0.0042520207,PA
hitter_bb_rate_vs_hand_last10_R,0.004226736,PA
opp_sp_h_rate_std,0.0041590794,PA
H_last21,0.004129103,PA
bb_rate_std,0.0040312773,PA
days_since_game,0.0039516296,PA
hr_rate_last14,0.003948614,PA
BB_last21,0.003933292,PA
hr_rate_last21,0.0038581467,PA
BB_std,0.0038535448,PA
opp_sp_k_rate_std,0.0038482745,PA
opp_sp_hr_rate_std,0.0037776441,PA
H_last10,0.003488052,PA
times_on_base_rate_std,0.003477443,PA
opp_sp_h_rate_last10,0.003465132,PA
barrel_proxy_last10,0.0034404162,PA
team_allowed_bb_rate_vs_hand_std,0.003436345,PA
team_allowed_hr_rate_vs_hand_std,0.0033451554,PA
max_EV_last10,0.0033005716,PA
hard_hit_proxy_std,0.0032642419,PA
team_allowed_k_rate_vs_hand_std,0.0032397208,PA
h_tt_k,0.0032164033,PA
ev_spread_std,0.003198747,PA
k_rate_last10,0.0031487383,PA
avg_EV_std,0.0031438374,PA
h_tt_hr,0.0031386444,PA
h_rate_last10,0.0031372628,PA
H_last7,0.0031354227,PA
h_tt_bb,0.0030677812,PA
BB_last30,0.0030431687,PA
h_rate_last14,0.003038089,PA
BB_last10,0.0030315586,PA
opp_sp_k_rate_last10,0.0029977455,PA
opp_sp_bb_rate_last10,0.0029921609,PA
team_allowed_bb_rate_vs_hand_last10,0.002970729,PA
BB_last7,0.0029599979,PA
opp_sp_hr_rate_last10,0.0029446841,PA
opp_sp_bb_rate_std,0.0029362782,PA
opp_sp_hr_rate,0.0029304414,PA
bb_rate_last14,0.002926493,PA
team_allowed_h_rate_vs_hand_std,0.0029042074,PA
BB_last14,0.0029037993,PA
H_last14,0.0029005108,PA
h_rate_last21,0.0028903908,PA
K_last10,0.0028355215,PA
K_last30,0.0028251098,PA
k_rate_last14,0.0028106973,PA
h_tt_h,0.002792868,PA
blast_proxy_std,0.002779621,PA
bb_rate_last30,0.002752085,PA
team_allowed_k_rate_vs_hand_last10,0.002751859,PA
h_rate_last30,0.002733477,PA
park_factor,0.0027222775,PA
bb_rate_last21,0.0027159806,PA
K_std,0.0027111745,PA
hr_rate_last7,0.0027009335,PA
k_rate_last30,0.0026992466,PA
h_rate_std,0.0026943386,PA
times_on_base_rate_last10,0.002687044,PA
team_allowed_hr_rate_vs_hand_last10,0.002677842,PA
avg_EV_last10,0.0026623711,PA
h_rate_last7,0.002661811,PA
team_allowed_h_rate_vs_hand_last10,0.002660466,PA
opp_sp_k_rate,0.0026604226,PA
hr_rate_last10,0.0026567965,PA
k_rate_last7,0.0026107624,PA
barrel_proxy_std,0.0025842178,PA
sweet_spot_proxy_last10,0.0025714028,PA
k_rate_last21,0.0025510588,PA
ev_la_interaction_last10,0.002534301,PA
bb_rate_last10,0.002518815,PA
ev_la_interaction_std,0.0024982921,PA
K_last14,0.0024866678,PA
k_rate_std,0.002468874,PA
hard_hit_proxy_last10,0.0024671652,PA
avg_LA_last10,0.0024616558,PA
avg_LA_std,0.0024598532,PA
bb_rate_last7,0.0024383867,PA
K_last7,0.002435519,PA
max_hr_rate_last10,0.0024161816,PA
sweet_spot_proxy_std,0.002413006,PA
max_h_rate_last10,0.0022404853,PA
blast_proxy_last10,0.002141264,PA
K_last21,0.0020092505,PA
xbh_proxy_rate_last10,0.0018796889,PA
HR_last10,0.0,PA
